S,full_obj,full_time_s,pisasr_obj,pisasr_gap_pct,pisasr_time_s,speedup_x,K_used,fixed_units,surrogate_r2
100,27591765.534757484,568.1998798847198,27596453.137333784,0.0169891360173944,419.0615212917328,1.3558865489088017,99,58,0.9966836912021028
200,28251602.781244203,1441.2697820663452,28274758.45764756,0.0819623459336306,554.4085931777954,2.5996526745828032,128,58,0.9972388075577684
500,28642776.55178681,3380.5600378513336,28757907.786356542,0.4019555658704111,566.8569893836975,5.9636911975395615,143,58,0.9968270445355822
1000,28589377.459412113,4324.071888923645,28793578.585584596,0.7142552385492971,671.4835689067841,6.439579595318313,146,58,0.9986947916899996
2500,28563368.278983783,14688.979238986967,28931323.77163098,1.2882076408262033,612.8904309272766,23.96672961064701,147,58,0.9808228076255228
