system,S,quantity,run_a,run_b,n_pairs,confidence,distribution,mean_a,mean_b,mean_difference,sd_difference,standard_error,quantile,ci_low,ci_high,mean_difference_pct,ci_low_pct,ci_high_pct
texas2k,1000,total_cost,pisasr_S1000,full_S1000,2000,0.95,t,28708289.22541389,28394415.24285923,313873.98255465605,1353011.1518718211,30254.249099006836,1.9611514201705613,254540.81896794486,373207.1461413672,1.1054074537900218,0.8964467723347748,1.3143681352452687
texas2k,1000,dispatch_cost,pisasr_S1000,full_S1000,2000,0.95,t,23557855.22541389,23556131.24285923,1723.982554655982,1353011.1518718211,30254.249099006836,1.9611514201705613,-57609.1810320552,61057.146141367164,0.007318615000409235,-0.24456130099682125,0.2591985309976397
