case,S_ref,batch_size,M,lb_mean,lb_sd,lb_95,ub_mean,ub_sd,ub_95,n_eval,insample_obj,gap_point_pct,gap_cert95_pct,gap_insample_vs_lb95_pct
full,1000,200,5,38014045.90348579,93471.98598251346,37897985.1036507,38411590.07320406,2813024.9182748287,38534948.75167363,2000,38108031.006481566,1.0457823161670334,1.6807322243671903,0.5542402907605642
full,1000,500,5,38061539.78697579,37590.31092713826,38014865.25121628,38411590.07320406,2813024.9182748287,38534948.75167363,2000,38108031.006481566,0.9196955461798011,1.3681056003235839,0.24507716823304335
pisasr,1000,200,5,38014045.90348579,93471.98598251346,37897985.1036507,38762884.03116379,4402336.799700275,38955938.29323624,2000,38369890.506773256,1.9698985200871053,2.7915816281315493,1.2451991889064855
pisasr,1000,500,5,38061539.78697579,37590.31092713826,38014865.25121628,38762884.03116379,4402336.799700275,38955938.29323624,2000,38369890.506773256,1.8426586210471376,2.4755395969471543,0.9339116506420323
