variant,K,gap_pct,under_rep_pct,t_milp_s,unit_hours_on,eval_expected_cost,eval_cost_sd,eval_ens_rate_pct,eval_ens_mwh,eval_n
pisasr,148,0.6871504335848581,-1.3314590249508291,80.21634912490845,2451,38762884.03116379,4402336.799700275,0.005959690954178,73.45611422625622,2000
gp_crit_K148,148,0.485653509082719,-2.6552003914716606,91.03847908973694,2492,38665446.74493307,3917972.872364376,0.0049331286636534,60.80323046887278,2000
exact_crit_K148,148,0.1999744302649009,-3.055465933886734,98.89988708496094,2498,38509536.72935864,3291043.041186089,0.0035069848569617,43.22530853082863,2000
medoids_K148,148,1.3872955257761397,1.9967883688260084,78.96546578407288,2447,39081986.03751861,5284778.621513904,0.0089238501563674,109.99083030716054,2000
gp_crit_K188,188,0.3920756713714954,-2.3966784747825978,115.79771995544434,2479,38581535.30119757,3734296.6333265933,0.004256169465066103,52.459376299205616,2000
