S,k_critical,k_cover,K,objective,gap_pct,under_rep_pct,t_milp_s,t_online_s,t_exact_eval_s
200,15,10,25,43688628.0775333,14.858865244737787,12.611050042115776,12.239765882492064,16.537580251693726,35.27226686477661
200,30,20,49,39786228.59778413,4.599326419664401,2.531633521594584,20.69330906867981,24.957584381103516,36.98990797996521
200,45,30,70,38491050.5066108,1.1942598751620446,-0.3122727156444588,58.68094110488891,62.94877481460571,36.27348613739014
200,60,40,90,38201408.22925147,0.4327806351787209,-0.9330842431288664,59.76523208618164,64.03366231918335,36.88628101348877
200,90,60,122,38292332.48635506,0.671823549861361,-0.4004510690887528,58.70003890991211,62.97414040565491,36.9339063167572
200,120,80,152,38076734.20255446,0.1050084468074716,-0.4895144490640464,68.93210101127625,73.19770312309265,37.01328706741333
500,15,10,25,42614821.861095145,12.09018120356865,10.069495171660252,17.016167879104614,23.70132517814636,89.58647990226746
500,30,20,50,38707369.8265681,1.8123720407842216,0.2553898617476618,20.20443606376648,26.88058376312256,90.08215808868408
500,45,30,74,38564722.876291685,1.4371663774416088,0.1405095121188189,57.39867687225342,64.09024047851562,90.2197768688202
500,60,40,93,38556952.34787241,1.416727480820085,0.1395999500578921,75.37550592422485,82.05268383026123,90.18184185028076
500,90,60,143,38248374.15147283,0.6050712438741039,-0.468223682267581,82.5373330116272,89.26505923271179,119.16687512397766
500,120,80,182,38199760.763243645,0.477202975099212,-0.921563309526059,109.71114492416382,116.54159927368164,126.38026309013368
1000,15,10,25,39915808.69532934,4.743823391295916,0.037589115637011,13.373885869979858,27.968412160873413,179.354994058609
1000,30,20,50,38610838.82610255,1.3194274444026306,-2.0209328742938455,29.007816314697266,43.61944580078125,190.87582278251648
1000,45,30,75,38456349.75262592,0.9140297647105172,-1.8680660049503703,36.704139947891235,51.34074020385742,183.1690318584442
1000,60,40,100,38470903.32018618,0.9522200547252062,-1.313153878054562,62.1054470539093,76.74087643623352,182.62207531929016
1000,90,60,148,38369890.506773256,0.6871504335848581,-1.3314590249508291,70.90815782546997,85.52571392059326,183.6578631401062
1000,120,80,191,38390845.88845822,0.7421398442983169,-1.0278053432495016,112.73081803321838,127.42179846763612,183.4133942127228
2500,15,10,25,39657378.30436382,3.862829516607284,1.5724975771576617,13.886908054351808,19.598448991775513,455.61844992637634
2500,30,20,50,39847157.0526031,4.359860803521254,2.468103861070981,38.761404037475586,44.578251123428345,460.187876701355
2500,45,30,75,38668563.74982848,1.27312031513083,-0.7910205357955338,37.97408485412598,43.75226068496704,633.3738718032837
2500,60,40,100,38493712.91429454,0.815185290215188,-1.3248248629393022,90.00898885726929,97.95116066932678,693.5267150402069
2500,90,60,146,38498172.51663496,0.8268650062579453,-1.122393302437044,61.899263858795166,67.69497346878052,501.7452359199524
2500,120,80,198,38271552.61954022,0.23334660581360198,-1.9861809705816875,130.2978229522705,137.37450408935547,682.7616560459137
