rank,explained,cum_explained
1,0.6395865343098033,0.6395865343098033
2,0.10797462011071017,0.7475611544205134
3,0.040392594051810574,0.787953748472324
4,0.024072049438211313,0.8120257979105353
5,0.018496353822110734,0.830522151732646
6,0.013769063108685873,0.8442912148413318
7,0.011557854193660096,0.8558490690349919
8,0.011027762260719753,0.8668768312957117
9,0.01056739757197914,0.8774442288676908
10,0.010165124615058472,0.8876093534827493
11,0.009965451446174393,0.8975748049289237
12,0.009397905911416543,0.9069727108403403
13,0.009160248474864524,0.9161329593152048
14,0.00892419082577117,0.9250571501409759
15,0.008687267530473976,0.9337444176714499
16,0.008404048437147912,0.9421484661085978
17,0.008181617254926428,0.9503300833635242
18,0.008004944170802808,0.958335027534327
19,0.0075533882571157855,0.9658884157914428
20,0.007424274276124567,0.9733126900675674
21,0.007004161004197078,0.9803168510717645
22,0.0069335607419047885,0.9872504118136692
23,0.006774273848477296,0.9940246856621465
24,0.0059753143378531645,0.9999999999999997
