case,S_ref,batch_size,M,lb_mean,lb_sd,lb_95,ub_mean,ub_sd,ub_95,n_eval,insample_obj,gap_point_pct,gap_cert95_pct,gap_insample_vs_lb95_pct
full,1000,200,5,28334265.77635451,376815.9492156366,27866386.978264477,28394415.24285923,5422589.333420448,28632210.311686475,2000,28589377.459412113,0.21228524846729924,2.7481974395149713,2.594489489116625
pisasr,1000,200,5,28334265.77635451,376815.9492156366,27866386.978264477,28708289.22541389,4725990.386908006,28915536.564319935,2000,28793578.585584596,1.3200393192171866,3.7649286463788236,3.3272760047555483
