variant,K,gap_pct,under_rep_pct,t_milp_s,unit_hours_on,eval_expected_cost,eval_cost_sd,eval_ens_rate_pct,eval_ens_mwh,eval_n
pisasr,146,0.7142552385492971,-15.411547981391164,751.3600609302521,8750,28708289.22541389,4725990.386908006,0.0009907564030462,7.95672791017121,2000
exact_crit_K148,148,1.923270756573336,-21.46344127622862,1096.876826286316,9105,29047077.63552349,4361341.299868659,0.000659183234972,5.293876100616266,2000
gp_crit_K148,148,1.9098785444735145,-21.493276379075134,937.7123022079468,9094,29045976.10535517,4377917.426504107,0.0007071719581459616,5.679271755771725,2000
