scheme,K,w_max,w_min,critical_mass,reduced_obj,approx_obj,under_rep_pct,objective,gap_pct,t_milp_s,unit_hours_on,eval_expected_cost,eval_cost_sd,eval_ens_rate_pct,eval_ens_mwh,eval_n
uniform,146,0.0068493150684931,0.0068493150684931,0.6164383561643821,34007657.51849669,28766551.041603815,-15.41154804338479,28793580.393932123,0.7142615637920539,619.899246931076,8750,28708289.454365507,4725991.454859819,0.0009907564030462,7.95672791017121,2000
voronoi_nn,146,0.0369999999999999,0.0009999999999999,0.121,28547580.44825527,28504866.953928307,-0.1496221173783512,28619050.06097982,0.1037889041474711,711.6918382644653,8213,28418317.44394023,5583389.019377467,0.0022919756041736,18.40677103179831,2000
cluster_mass,146,0.033,0.0009999999999999994,0.09700000000000004,28568703.823886573,28497561.528560754,-0.24902178189245197,28611379.64120292,0.07695928958943755,632.5768892765045,8200,28414297.736426104,5691123.388840828,0.002479179529533658,19.91019881003513,2000
