system,S,quantity,run_a,run_b,n_pairs,confidence,distribution,mean_a,mean_b,mean_difference,sd_difference,standard_error,quantile,ci_low,ci_high,mean_difference_pct,ci_low_pct,ci_high_pct
tx123bt,1000,total_cost,pisasr_S1000,full_S1000,2000,0.95,t,38762884.03116379,38411590.07320406,351293.95795972395,2319776.4199907873,51871.77767700502,1.9611514201705613,249565.54750169395,453022.36841775395,0.914551981030295,0.6497141800849087,1.1793897819756816
tx123bt,1000,dispatch_cost,pisasr_S1000,full_S1000,2000,0.95,t,36117628.03116379,35751951.07320406,365676.95795972395,2319776.4199907873,51871.77767700502,1.9611514201705613,263948.54750169395,467405.36841775395,1.0228167889662314,0.7382773235543005,1.3073562543781627
