S,full_obj,full_time_s,pisasr_obj,pisasr_gap_pct,pisasr_time_s,pisasr_exact_valid_s,speedup_x,K_used,fixed_units,surrogate_r2,full_oos_cost,full_oos_ens,full_oos_unserved,pisasr_oos_cost,pisasr_oos_ens,pisasr_oos_unserved
100,37960409.85544101,70.46763801574707,37961840.40209517,0.0037685226782457797,56.074317932128906,16.16097402572632,1.2566829274863318,95,64,-0.0652146514184917,40062271.161141664,424315.32846145786,0.0001721291856632,40279181.434024416,470168.5365206048,0.00019073015252414635
200,38036792.35768427,108.24925804138184,38292332.48635506,0.671823549861361,62.0506489276886,32.622382164001465,1.7445306360539645,122,64,-0.01633743917898789,39011019.41844444,204435.96519388215,8.293218238592496e-05,39431642.07802048,293132.7207173117,0.00011891320705119253
500,38018336.132137865,304.6566882133484,38248374.15147283,0.6050712438741039,84.38573598861694,83.97017908096313,3.6102865566574485,143,64,0.1784725687795875,38528671.222108305,96792.565278858,3.9265198125461815e-05,38921744.69969974,184853.10150821292,7.498813192847038e-05
1000,38108031.006481566,433.72063994407654,38369890.506773256,0.6871504335848581,73.57656717300415,167.3861439228058,5.894820275105363,148,64,0.5112988860331589,38411590.07320406,64951.67141307773,2.634851384780327e-05,38762884.03116379,146912.22845251244,5.959690954178076e-05
2500,38182455.15641642,1346.850121259689,38498172.51663496,0.8268650062579453,63.08567404747009,421.0298981666565,21.349539996136436,146,64,0.23519019673480202,,,,38762224.49530718,144572.924807838,5.8647939744161194e-05
